iter	Passed	Remaining
625	2192	1309
626	2193	1304
627	2196	1300
628	2200	1297
629	2205	1295
630	2209	1291
631	2211	1287
632	2216	1285
633	2220	1281
634	2226	1279
635	2230	1276
636	2234	1273
637	2238	1269
638	2241	1266
639	2244	1262
640	2249	1259
641	2252	1256
642	2257	1253
643	2262	1250
644	2266	1247
645	2270	1244
646	2273	1240
647	2276	1236
648	2280	1233
649	2284	1230
650	2288	1226
651	2291	1222
652	2295	1219
653	2298	1216
654	2303	1213
655	2306	1209
656	2310	1206
657	2314	1203
658	2319	1200
659	2323	1196
660	2328	1194
661	2333	1191
662	2337	1188
663	2341	1184
664	2347	1182
665	2350	1179
666	2359	1178
667	2363	1174
668	2368	1171
669	2373	1169
670	2379	1166
671	2382	1163
672	2388	1160
673	2392	1157
674	2396	1153
675	2400	1150
676	2404	1147
677	2409	1144
678	2412	1140
679	2416	1137
680	2419	1133
681	2423	1129
682	2426	1126
683	2432	1123
684	2435	1120
685	2440	1117
686	2444	1113
687	2448	1110
688	2452	1107
689	2456	1103
690	2459	1099
691	2464	1096
692	2467	1093
693	2470	1089
694	2474	1085
695	2478	1082
696	2481	1078
697	2485	1075
698	2488	1071
699	2493	1068
700	2497	1065
701	2500	1061
702	2503	1057
703	2506	1054
704	2509	1050
705	2513	1046
706	2517	1043
707	2521	1040
708	2526	1036
709	2530	1033
710	2533	1029
711	2539	1027
712	2543	1023
713	2546	1019
714	2549	1016
715	2554	1013
716	2557	1009
717	2562	1006
718	2565	1002
719	2569	999
720	2573	995
721	2578	992
722	2581	989
723	2585	985
724	2590	982
725	2594	979
726	2597	975
727	2601	972
728	2605	968
729	2609	965
730	2612	961
731	2616	957
732	2619	954
733	2624	951
734	2628	947
735	2633	944
736	2636	940
737	2641	937
738	2645	934
739	2649	931
740	2654	927
741	2658	924
742	2661	920
743	2665	917
744	2668	913
745	2673	910
746	2675	906
747	2679	902
748	2682	899
749	2688	896
750	2692	892
751	2696	889
752	2700	885
753	2704	882
754	2707	878
755	2711	875
756	2714	871
757	2719	868
758	2724	864
759	2729	861
760	2733	858
761	2738	855
762	2744	852
763	2749	849
764	2752	845
765	2758	842
766	2762	839
767	2767	835
768	2771	832
769	2777	829
770	2783	826
771	2788	823
772	2792	820
773	2796	816
774	2802	813
775	2809	811
776	2814	807
777	2821	805
778	2825	801
779	2829	798
780	2833	794
781	2838	791
782	2843	788
783	2848	784
784	2853	781
785	2858	778
786	2862	774
787	2867	771
788	2871	767
789	2876	764
790	2879	760
791	2882	756
792	2888	754
793	2894	750
794	2898	747
795	2905	744
796	2910	741
797	2915	737
798	2919	734
799	2922	730
800	2927	727
801	2932	723
802	2936	720
803	2940	716
804	2945	713
805	2949	709
806	2952	706
807	2956	702
808	2961	699
809	2964	695
810	2968	691
811	2972	688
812	2976	684
813	2979	680
814	2984	677
815	2987	673
816	2993	670
817	2996	666
818	3000	663
819	3004	659
820	3009	656
821	3012	652
822	3016	648
823	3020	645
824	3024	641
825	3027	637
826	3031	634
827	3035	630
828	3039	626
829	3051	624
830	3056	621
831	3060	618
832	3067	615
833	3071	611
834	3074	607
835	3077	603
836	3081	600
837	3085	596
838	3089	592
839	3092	589
840	3096	585
841	3101	581
842	3106	578
843	3109	574
844	3113	571
845	3117	567
846	3122	564
847	3125	560
848	3129	556
849	3132	552
850	3136	549
851	3140	545
852	3147	542
853	3150	538
854	3154	534
855	3159	531
856	3164	528
857	3168	524
858	3172	520
859	3175	516
860	3180	513
861	3183	509
862	3187	505
863	3191	502
864	3195	498
865	3198	494
866	3203	491
867	3207	487
868	3211	484
869	3215	480
870	3219	476
871	3223	473
872	3227	469
873	3230	465
874	3234	462
875	3237	458
876	3245	455
877	3248	451
878	3252	447
879	3255	443
880	3260	440
881	3264	436
882	3268	433
883	3272	429
884	3277	425
885	3281	422
886	3289	419
887	3293	415
888	3297	411
889	3303	408
890	3307	404
891	3311	400
892	3315	397
893	3319	393
894	3323	389
895	3326	386
896	3330	382
897	3333	378
898	3337	374
899	3341	371
900	3348	367
901	3351	364
902	3357	360
903	3360	356
904	3364	353
905	3367	349
906	3372	345
907	3375	341
908	3379	338
909	3382	334
910	3388	331
911	3392	327
912	3398	323
913	3402	320
914	3406	316
915	3411	312
916	3416	309
917	3420	305
918	3424	301
919	3428	298
920	3431	294
921	3435	290
922	3439	286
923	3443	283
924	3447	279
925	3451	275
926	3455	272
927	3459	268
928	3463	264
929	3467	260
930	3471	257
931	3475	253
932	3479	249
933	3482	246
934	3486	242
935	3491	238
936	3496	235
937	3500	231
938	3505	227
939	3508	223
940	3512	220
941	3516	216
942	3519	212
943	3524	209
944	3529	205
945	3532	201
946	3536	197
947	3539	194
948	3543	190
949	3547	186
950	3552	183
951	3555	179
952	3561	175
953	3564	171
954	3568	168
955	3571	164
956	3576	160
957	3580	156
958	3586	153
959	3590	149
960	3596	145
961	3599	142
962	3603	138
963	3608	134
964	3612	131
965	3615	127
966	3619	123
967	3623	119
968	3628	116
969	3634	112
970	3638	108
971	3642	104
972	3646	101
973	3651	97
974	3657	93
975	3660	90
976	3666	86
977	3669	82
978	3673	78
979	3679	75
980	3688	71
981	3693	67
982	3697	63
983	3701	60
984	3706	56
985	3709	52
986	3713	48
987	3716	45
988	3720	41
989	3724	37
990	3728	33
991	3731	30
992	3736	26
993	3739	22
994	3743	18
995	3747	15
996	3751	11
997	3755	7
998	3759	3
999	3763	0
