iter	Recall	Logloss
485	0.9433333333	0.3055937431
486	0.9433333333	0.3053539817
487	0.9433333333	0.304985896
488	0.9433333333	0.3046604744
489	0.9433333333	0.304373921
490	0.9433333333	0.3040458225
491	0.9433333333	0.3037982661
492	0.9433333333	0.3033917576
493	0.9433333333	0.3030327657
494	0.9433333333	0.3027417376
495	0.9433333333	0.3025634834
496	0.9433333333	0.3021273076
497	0.9433333333	0.3017575564
498	0.9433333333	0.3015538547
499	0.9466666667	0.3012602171
500	0.9466666667	0.3010606767
501	0.9466666667	0.3009514193
502	0.9466666667	0.3005945315
503	0.9466666667	0.3004707537
504	0.9466666667	0.3002426848
505	0.9466666667	0.3002426846
506	0.9466666667	0.3001081923
507	0.9466666667	0.2997578865
508	0.9466666667	0.2992142001
509	0.9466666667	0.2991129767
510	0.9466666667	0.2986916515
511	0.9466666667	0.2983960731
512	0.9466666667	0.2980916264
513	0.9466666667	0.2977926698
514	0.9466666667	0.2975003555
515	0.9466666667	0.2973004108
516	0.95	0.2969864592
517	0.95	0.2968712816
518	0.95	0.2967268875
519	0.95	0.2967027435
520	0.95	0.2961167728
521	0.95	0.2959227267
522	0.95	0.2957355611
523	0.95	0.2954893007
524	0.95	0.2953055723
525	0.95	0.2953055664
526	0.95	0.2950968331
527	0.95	0.2946965249
528	0.95	0.2945638658
529	0.95	0.2945126477
530	0.95	0.2942835996
531	0.95	0.2940363443
532	0.9533333333	0.2938663949
533	0.9533333333	0.293560033
534	0.9533333333	0.2933053371
535	0.9533333333	0.2931062282
536	0.9533333333	0.2928466049
537	0.9533333333	0.2925876175
538	0.9533333333	0.2924576577
539	0.9533333333	0.292275779
540	0.9533333333	0.291959172
541	0.9533333333	0.2917852554
542	0.9566666667	0.2916141998
543	0.9566666667	0.29124961
544	0.9566666667	0.2909408806
545	0.9566666667	0.2907938603
546	0.9566666667	0.2905981642
547	0.9566666667	0.2902688912
548	0.96	0.290064356
549	0.96	0.2900273524
550	0.96	0.2899662565
551	0.96	0.2897897636
552	0.96	0.2893899445
553	0.96	0.2892278939
554	0.96	0.28910277
555	0.96	0.2886661081
556	0.96	0.2885072316
557	0.96	0.2881611505
558	0.96	0.2878995513
559	0.96	0.2877647163
560	0.96	0.2876629283
561	0.96	0.2871842283
562	0.96	0.2871365253
563	0.96	0.2866702409
564	0.96	0.2864372385
565	0.96	0.2862794558
566	0.96	0.2859299478
567	0.96	0.2856850243
568	0.9633333333	0.2854666901
569	0.9633333333	0.2853844522
570	0.9633333333	0.2851492364
571	0.9633333333	0.2851287182
572	0.9633333333	0.2849371475
573	0.9633333333	0.2844895474
574	0.9633333333	0.2843024495
575	0.9666666667	0.2841664165
576	0.9666666667	0.2840981726
577	0.9666666667	0.2838527907
578	0.9633333333	0.283421135
579	0.9666666667	0.2831309427
580	0.97	0.2829570094
581	0.97	0.282601077
582	0.97	0.2823840073
583	0.97	0.2819630755
584	0.97	0.2817476898
585	0.97	0.2814726451
586	0.97	0.281311905
587	0.97	0.2810535913
588	0.97	0.280917213
589	0.97	0.2806242
590	0.97	0.2806241998
591	0.97	0.280224854
592	0.97	0.2800497118
593	0.97	0.279750812
594	0.97	0.2796405943
595	0.97	0.2794340609
596	0.97	0.2793747277
597	0.97	0.2791934149
598	0.97	0.2789606954
599	0.97	0.2786830448
600	0.97	0.2785364884
601	0.97	0.2782242609
602	0.97	0.2781526009
603	0.97	0.2777719017
604	0.97	0.2777042185
605	0.97	0.2776338356
606	0.97	0.2775451902
607	0.97	0.2773084749
608	0.97	0.2771947358
609	0.97	0.2771947347
610	0.97	0.2769735485
611	0.97	0.2767372322
612	0.97	0.2764796479
613	0.97	0.2761497534
614	0.97	0.2760049637
615	0.97	0.2758759411
616	0.97	0.2755149975
617	0.97	0.275188039
618	0.97	0.2748190402
619	0.97	0.2746453917
620	0.9733333333	0.2741810593
621	0.9733333333	0.2738694127
622	0.9733333333	0.2736078644
623	0.9733333333	0.2730808688
624	0.9733333333	0.2727978994
625	0.9733333333	0.2725336147
626	0.9733333333	0.272370329
627	0.9733333333	0.2721660143
628	0.9733333333	0.2719804518
629	0.9733333333	0.2718076506
630	0.9733333333	0.2716829329
631	0.9733333333	0.2716088266
632	0.9733333333	0.2716004844
633	0.9733333333	0.2712041714
634	0.9733333333	0.2711456809
635	0.9733333333	0.2710641001
636	0.9733333333	0.2708187033
637	0.9733333333	0.2705167564
638	0.9733333333	0.2700719175
639	0.9733333333	0.2700530999
640	0.9733333333	0.2698039633
641	0.9733333333	0.2694262667
642	0.9733333333	0.2692172584
643	0.9733333333	0.2691197747
644	0.9733333333	0.268891465
645	0.9733333333	0.2688911669
646	0.9733333333	0.268566544
647	0.9733333333	0.2682412209
648	0.9733333333	0.2678516925
649	0.9733333333	0.267559946
650	0.9733333333	0.2672830939
651	0.9733333333	0.2670080886
652	0.9733333333	0.2669590875
653	0.9733333333	0.2667714414
654	0.9733333333	0.2665117377
655	0.9733333333	0.2660857884
656	0.9733333333	0.2659921939
657	0.9733333333	0.2658728936
658	0.9733333333	0.2656711258
659	0.9733333333	0.2653364626
660	0.9733333333	0.2651428049
661	0.9733333333	0.2649183764
662	0.9733333333	0.2645039359
663	0.9733333333	0.2641531705
664	0.9733333333	0.2640022115
665	0.9733333333	0.2640022061
666	0.9733333333	0.2637135375
667	0.9733333333	0.2636010392
668	0.9733333333	0.2632956486
669	0.9733333333	0.2632304287
670	0.9733333333	0.2630204251
671	0.9733333333	0.2627650105
672	0.9733333333	0.2626064267
673	0.9733333333	0.2623883739
674	0.9733333333	0.2621990366
675	0.9733333333	0.2619922539
676	0.9733333333	0.2617899423
677	0.9733333333	0.2617784658
678	0.9733333333	0.2614340502
679	0.9733333333	0.2610899664
680	0.9733333333	0.2609111788
681	0.9733333333	0.2607341647
682	0.9733333333	0.2605035962
683	0.9766666667	0.2603871838
684	0.9766666667	0.2601033445
685	0.9733333333	0.2597768765
686	0.9733333333	0.2596077389
687	0.9766666667	0.2592186231
688	0.9766666667	0.2591037216
689	0.9766666667	0.2586970354
690	0.98	0.2583978802
